Lezione,Corso,Data,Livello,Topic Trattati
Claude 101 — Analisi Tecnica Completa,Claude 101,"March 31, 2026 10:10 AM",Livello 1 — Fondamenta,"Modelli Claude: famiglie e differenze, Context Window e Token, Come funzionano i Large Language Model, Anatomia di un prompt efficace, System prompt e separazione dei ruoli, Chain-of-thought e ragionamento esplicito, Prompt per task strutturati, Messages API: struttura e parametri, Streaming delle risposte, Batch API, Gestione errori e retry, Agentic loop e autonomia, Model Context Protocol: architettura, Build di server MCP in Python, Resources Tools e Prompts in MCP, Agent Skills in Claude Code, Subagents e task delegation, Memory e stato negli agenti, Architettura di Claude Code, Context management nel codice, Multi-tool use e flussi complessi, Progetti e Artifacts, Prompt Caching, Contextual Retrieval ed Enterprise Search"
AI Fluency: Framework & Foundations,AI Fluency,"March 31, 2026 2:20 PM",Livello 1 — Fondamenta,"Come funzionano i Large Language Model, Modelli Claude: famiglie e differenze, Temperature e parametri di generazione, Context Window e Token, Anatomia di un prompt efficace, Few-shot prompting, Prompt per task strutturati, Chain-of-thought e ragionamento esplicito, Prompt Caching, Messages API: struttura e parametri, Agentic loop e autonomia, Subagents e task delegation, Model Context Protocol: architettura, Architettura di Claude Code, RLHF e Constitutional AI, Responsible use e bias, Framework 4D e AI Fluency, Allucinazioni e verifica dei fatti, Gestione del ciclo di vita dei modelli"
Introduction to Claude Cowork,Intro to Claude Cowork,"March 31, 2026 2:37 PM",Livello 1 — Fondamenta,"Progetti e Artifacts, Context Window e Token, Agentic loop e autonomia, Model Context Protocol: architettura, Agent Skills in Claude Code, Subagents e task delegation, Memory e stato negli agenti, Sicurezza nei sistemi agentici, Architettura di Claude Code, Multi-tool use e flussi complessi, Responsible use e bias, Computer Use e visione computerizzata, Plugin di Cowork: architettura e personalizzazione, Compounding Context e memoria persistente in Cowork"
Building with the Claude API,Building with the Claude API,"March 31, 2026 7:08 PM",Livello 2 — Workflow,"Chain-of-thought e ragionamento esplicito, Few-shot prompting, Prompt per task strutturati, Messages API: struttura e parametri, Streaming delle risposte, Tool Use (Function Calling), Gestione errori e retry, Prompt Caching, Contextual Retrieval ed Enterprise Search, Agentic loop e autonomia, Model Context Protocol: architettura, Architettura di Claude Code, Context management nel codice, Evaluation-driven development (Evals), Pattern di workflow agentici"
Introduction to Model Context Protocol,Intro to MCP,"March 31, 2026 7:27 PM",Livello 3 — Agentic & MCP,"Model Context Protocol: architettura, Build di server MCP in Python, Resources Tools e Prompts in MCP, Sampling e notifiche MCP, Sicurezza nei sistemi agentici, Agentic loop e autonomia, Agent Skills in Claude Code, Architettura di Claude Code, Gestione errori e retry, Ciclo di vita della connessione MCP e handshake, MCP Inspector e debugging, Sicurezza avanzata in MCP"
Model Context Protocol: Advanced Topics,MCP Advanced Topics,"March 31, 2026 8:16 PM",Livello 3 — Agentic & MCP,"Sampling e notifiche MCP, Sicurezza avanzata in MCP, Ciclo di vita della connessione MCP e handshake, Build di server MCP in Python, Model Context Protocol: architettura, Architettura di Claude Code, StreamableHTTP: il trasporto moderno per MCP remoto, Scalabilità e stato nei sistemi MCP"
Introduction to Agent Skills,Intro to Agent Skills,"March 31, 2026 8:36 PM",Livello 3 — Agentic & MCP,"Agent Skills in Claude Code, Subagents e task delegation, Sicurezza nei sistemi agentici, Evaluation-driven development (Evals), Architettura di Claude Code, Context Window e Token, Compounding Context e memoria persistente in Cowork, Anatomia di una Skill: http://SKILL.md e frontmatter, Skills tramite API e ambienti cloud"
Introduction to SubAgents,Intro to Subagents,"April 1, 2026 12:07 AM",Livello 3 — Agentic & MCP,"Subagents e task delegation, Agentic loop e autonomia, Sicurezza nei sistemi agentici, Architettura di Claude Code, Memory e stato negli agenti, Anatomia di una Skill: http://SKILL.md e frontmatter, Context management nel codice, Claude Agent SDK: integrazione programmatica dei subagenti, Hooks nel ciclo di vita degli agenti"
Claude Code in Action,Claude Code in Action,"April 1, 2026 12:16 AM",Livello 4 — Claude Code,"Architettura di Claude Code, Context management nel codice, Anatomia di una Skill: http://SKILL.md e frontmatter, Hooks nel ciclo di vita degli agenti, Sicurezza nei sistemi agentici, Integrazione MCP + GitHub, Claude Agent SDK: integrazione programmatica dei subagenti, Agentic loop e autonomia, Gestione errori e retry, Modelli Claude: famiglie e differenze, Setup e installazione di Claude Code, Sicurezza avanzata in Claude Code"
